timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
351,846,2,846,0,False,1,88.0742071652419,1,2.393317347084505,100,
352,846,0,108,100,False,1,14.112510753778443,0,0.17077234050329498,80,
353,108,0,73,100,False,1,13.697462581191733,0,0.16233270585463225,60,
354,73,1,431,93.33250541762868,False,3,44.51477284715317,0,0.1992979958109996,60,
355,431,1,431,69.32331862643866,False,3,44.573006289992854,0,0.22291483090386546,60,
356,431,1,72,100,False,1,14.063886370626385,0,0.1425864298190591,60,
357,72,2,108,100,False,1,14.24847007971216,0,0.1749164380689717,80,
358,108,1,642,0,False,2,64.16951774495382,1,0.2980846645255126,80,
359,642,0,430,93.32974061592321,False,3,45.75220404794911,0,0.19853761251744684,60,
360,430,1,73,100,False,1,14.051916717816423,0,0.161347264274265,60,
361,73,0,38,100,False,1,14.418626616988261,0,0.16125011316275562,40,
362,38,0,24,79.78981235584044,False,7,19.26337592449975,0,0.1888062559866853,20,
363,24,0,24,79.32433903472865,False,7,18.910886308120464,0,0.17989694789769645,20,
